name,point,rank,Win Rate,Wins,Win Rank,Kill / Death Ratio,Kills,Kill Rank,macth played,daliy logins,avg distance travelled,Total Distance Travelled,AVG Distance On Foot,AVG Distance In Vehicle,Weapons Acquired,Vehicles Destroyed,Total Damage Dealt,Top 10 Rate,Top 10s,AVG Survival Time,Longest Time Survived,Total Heals,Total Boosts,Team Kills,Suicides,Revives,AVG Damage Per Match,Most Kills In Match,Assists,KDA,Headshots,Headshot Kill Ratio,Longest Kill,Road Kills,Best Kill Streak,DBNO
Karn,2815,1,61.50%,131,2,10.17,834,5,213,32,6.92 km,1473.06 km,2.21 km,4.70 km,1192,30,106008,90.61%,193,26m,35m,966,635,2,1,85,497.69,14,369,14.67,166,19.90%,719 m,11,4,656,
LosHD,2803,2,59.32%,156,3,9.51,1018,14,263,37,6.71 km,1764.98 km,2.06 km,4.65 km,1322,51,138130,88.97%,234,26m,35m,678,861,1,0,91,525.21,12,492,14.11,221,21.71%,638 m,6,5,782,
PhenomenalX,2815,3,55.43%,301,11,7.15,1731,3,543,39,7.36 km,3998.06 km,2.16 km,5.20 km,2819,79,224780,92.27%,501,27m,36m,1627,2345,0,0,199,413.96,12,879,10.79,262,15.14%,592 m,11,4,1329,
jambawe,2794,4,70.69%,123,4,12.88,657,12,174,23,8.06 km,1403.29 km,2.37 km,5.69 km,1039,23,87606,97.13%,169,28m,33m,509,592,3,1,70,503.48,11,351,19.76,112,17.05%,575 m,4,4,490,
Henrikisbest,2794,5,68.13%,171,7,11.80,944,7,251,29,8.12 km,2038.87 km,1.99 km,6.13 km,1244,53,130845,96.41%,242,28m,35m,863,935,2,0,92,521.29,11,431,17.19,170,18.01%,582 m,11,5,746,
Stab,2792,6,70.52%,122,1,10.49,535,31,173,30,7.96 km,1377.26 km,2.06 km,5.90 km,805,22,71974,94.22%,163,28m,35m,651,709,1,0,82,416.03,12,321,16.78,93,17.38%,624 m,5,4,412,
melloncs,2791,7,67.59%,98,8,12.15,571,10,145,19,7.67 km,1112.18 km,2.36 km,5.31 km,828,31,74837,96.55%,140,27m,35m,640,545,3,1,40,516.12,12,328,19.13,111,19.44%,624 m,7,3,451,
SnoopykX,2788,8,50.22%,226,9,7.17,1606,13,450,38,6.98 km,3138.76 km,2.20 km,4.78 km,2126,17,188303,83.78%,377,25m,36m,1559,1795,3,0,133,418.45,14,651,10.08,341,21.23%,547 m,5,4,1193,
Storsnorre,2783,9,65.08%,123,6,8.94,590,15,189,24,7.88 km,1489.98 km,1.89 km,5.99 km,866,32,89237,95.24%,180,27m,34m,649,606,2,0,39,472.16,12,313,13.68,88,14.92%,656 m,6,3,460,
iSavage,2780,10,74.18%,158,5,14.73,810,18,213,28,8.36 km,1779.99 km,1.87 km,6.49 km,1107,27,110188,97.18%,207,29m,35m,709,764,2,0,72,517.32,10,435,22.64,116,14.32%,614 m,6,4,625,
KingJonesGaming,2763,11,69.84%,176,10,9.87,750,45,252,28,12.62 km,3180.52 km,5.12 km,7.50 km,1305,44,103269,96.83%,244,28m,35m,760,760,1,0,116,409.80,13,417,15.36,162,21.60%,568 m,14,4,597,
rolezeh,2773,12,54.57%,173,12,7.85,1130,46,317,34,8.07 km,2558.68 km,2.06 km,6.02 km,1519,39,155069,94.95%,301,27m,33m,622,971,2,1,109,489.18,13,490,11.25,214,18.94%,678 m,11,4,929,
OuTLaWx-,2724,13,49.13%,85,14,6.47,569,20,173,30,6.73 km,1164.55 km,2.11 km,4.63 km,670,15,80559,84.39%,146,25m,33m,559,507,4,1,61,465.66,14,274,9.58,113,19.86%,448 m,1,5,454,
Ztarz,2715,14,55.04%,153,13,6.19,774,36,278,33,7.12 km,1979.49 km,1.94 km,5.18 km,1294,35,113673,93.17%,259,26m,36m,876,690,0,0,90,408.89,13,412,9.49,125,16.15%,592 m,2,4,656,
Haxete,2718,15,63.58%,96,18,13.45,740,11,151,29,6.99 km,1055.14 km,2.24 km,4.75 km,660,22,102759,96.03%,145,27m,34m,559,512,1,1,61,680.52,16,309,19.07,131,17.70%,654 m,5,5,587,
Zer0ng,2706,16,51.73%,179,15,7.59,1268,27,346,32,9.51 km,3291.59 km,3.30 km,6.21 km,1760,44,163553,87.57%,303,27m,36m,1331,1259,1,1,186,472.70,16,456,10.32,174,13.72%,586 m,15,4,998,
t1mber,2697,17,69.49%,82,16,9.89,356,41,118,22,7.81 km,922.06 km,2.13 km,5.68 km,493,23,49019,93.22%,110,27m,36m,319,453,0,0,42,415.42,10,249,16.81,52,14.61%,498 m,2,4,269,
swalkerzje,2686,18,50.00%,151,19,5.75,869,28,302,36,8.66 km,2616.29 km,2.09 km,6.57 km,1487,56,120306,94.04%,284,27m,36m,855,1166,4,1,95,398.36,12,440,8.67,142,16.34%,611 m,6,4,690,
TD911,2705,19,56.76%,105,20,7.36,589,33,185,27,5.98 km,1106.91 km,1.90 km,4.08 km,985,23,82138,95.14%,176,27m,33m,504,521,0,0,48,443.99,12,344,11.66,100,16.98%,573 m,1,4,454,
hamster,2691,20,59.28%,99,23,8.41,572,19,167,23,8.21 km,1371.77 km,2.11 km,6.11 km,788,21,75388,92.22%,154,28m,36m,412,489,0,0,42,451.42,13,265,12.31,114,19.93%,657 m,2,4,421,
Gurrss,2673,21,56.15%,137,21,7.22,773,37,244,38,8.49 km,2072.76 km,2.29 km,6.20 km,1404,29,108704,92.21%,225,27m,36m,1351,782,3,1,158,445.51,10,400,10.96,154,19.92%,595 m,9,3,609,
Slain,2673,21,56.15%,137,21,7.22,773,37,244,38,8.49 km,2072.76 km,2.29 km,6.20 km,1404,29,108704,92.21%,225,27m,36m,1351,782,3,1,158,445.51,10,400,10.96,154,19.92%,595 m,9,3,609,
HalloSenpai,2673,21,56.15%,137,21,7.22,773,37,244,38,8.49 km,2072.76 km,2.29 km,6.20 km,1404,29,108704,92.21%,225,27m,36m,1351,782,3,1,158,445.51,10,400,10.96,154,19.92%,595 m,9,3,609,
yungSannie127,2673,21,56.15%,137,21,7.22,773,37,244,38,8.49 km,2072.76 km,2.29 km,6.20 km,1404,29,108704,92.21%,225,27m,36m,1351,782,3,1,158,445.51,10,400,10.96,154,19.92%,595 m,9,3,609,
LosHD,2803,2,59.32%,156,3,9.51,1018,14,263,37,6.71 km,1764.98 km,2.06 km,4.65 km,1322,51,138130,88.97%,234,26m,35m,678,861,1,0,91,525.21,12,492,14.11,221,21.71%,638 m,6,5,782,
R3s1d3nT,2028,9430,19.51%,8,18706,4.97,164,750,41,9,4.25 km,174.13 km,1.97 km,2.27 km,163,4,18681,43.90%,18,17m,35m,58,104,3,1,11,455.63,19,29,5.85,31,18.90%,337 m,0,4,136,
d1gge,2652,25,54.67%,117,26,6.22,603,78,214,20,8.19 km,1752.74 km,2.15 km,6.04 km,1089,35,85582,95.33%,204,27m,36m,814,679,2,0,79,399.92,10,301,9.32,120,19.90%,551 m,3,4,501,
GamesenseBE,2652,25,54.67%,117,26,6.22,603,78,214,20,8.19 km,1752.74 km,2.15 km,6.04 km,1089,35,85582,95.33%,204,27m,36m,814,679,2,0,79,399.92,10,301,9.32,120,19.90%,551 m,3,4,501,
Karn,2815,1,61.50%,131,2,10.17,834,5,213,32,6.92 km,1473.06 km,2.21 km,4.70 km,1192,30,106008,90.61%,193,26m,35m,966,635,2,1,85,497.69,14,369,14.67,166,19.90%,719 m,11,4,656,
Ezys,2634,27,55.73%,73,34,8.97,520,26,131,25,7.07 km,926.78 km,2.57 km,4.51 km,826,16,73292,93.13%,122,27m,36m,430,450,1,0,67,559.48,12,229,12.91,87,16.73%,522 m,6,4,435,
SkiDDo,2630,28,37.70%,69,31,4.67,532,54,183,31,5.98 km,1095.14 km,2.11 km,3.88 km,816,17,75398,79.23%,145,23m,34m,592,492,4,1,59,412.01,12,227,6.66,105,19.74%,542 m,7,6,472,
muytoguy,2626,29,46.85%,119,24,3.64,491,470,254,28,6.11 km,1552.43 km,2.10 km,4.01 km,1258,19,74774,77.56%,197,23m,36m,712,860,7,0,98,294.39,11,286,5.76,84,17.11%,509 m,2,3,432,
Pybas,2642,30,52.41%,98,32,6.02,536,53,187,27,6.40 km,1197.56 km,2.11 km,4.29 km,859,18,72386,85.56%,160,26m,33m,577,623,1,0,84,387.09,12,351,9.97,79,14.74%,586 m,1,3,388,
PaiShiro,2627,31,49.76%,102,33,6.05,623,39,205,31,7.85 km,1610.06 km,1.93 km,5.92 km,1072,18,73653,91.71%,188,27m,36m,617,598,3,2,101,359.28,9,281,8.78,117,18.78%,557 m,8,5,473,
Komendanovich,
red1236blue,2190,1102,28.95%,11,1390,6.11,165,1253,38,14,5.26 km,200.04 km,1.59 km,3.67 km,175,5,23779,76.32%,29,21m,32m,130,112,0,0,17,625.75,16,44,7.74,33,20.00%,493 m,0,3,144,
Raytem_,2648,32,41.85%,113,30,4.19,658,86,270,35,6.23 km,1682.81 km,1.96 km,4.27 km,1270,32,84975,79.63%,215,24m,36m,1026,795,4,2,70,314.72,10,298,6.09,125,19.00%,470 m,9,4,518,
BoJIWe6CTBo,1978,13652,14.63%,6,17352,2.46,86,11836,41,11,4.19 km,171.83 km,1.29 km,2.90 km,194,1,12695,51.22%,21,18m,36m,177,117,0,0,12,309.63,10,37,3.51,16,18.60%,412 m,1,4,73,
wltr,2620,33,52.71%,107,29,6.29,604,105,203,24,7.20 km,1461.44 km,2.02 km,5.18 km,983,20,94771,91.63%,186,27m,35m,745,560,1,0,88,466.85,13,387,10.32,107,17.72%,591 m,6,4,534,
piidde,1720,149564,33.33%,2,163365,9.50,38,125425,6,2,5.59 km,33.54 km,2.57 km,3.03 km,38,0,4910,83.33%,5,28m,32m,46,31,0,0,3,818.33,10,16,13.50,8,21.05%,221 m,0,2,29,
NICOL4Y4,2620,34,55.86%,143,28,5.67,641,216,256,26,6.87 km,1757.80 km,2.14 km,4.73 km,1391,36,84810,88.67%,227,27m,36m,841,907,0,0,117,331.29,10,393,9.15,135,21.06%,475 m,2,4,508,
JustinSane77,2636,35,45.20%,146,42,6.29,1114,16,323,36,8.21 km,2652.81 km,3.36 km,4.86 km,1614,31,148897,87.31%,282,26m,36m,1251,1063,0,0,95,460.98,13,491,9.07,181,16.25%,486 m,11,4,884,
POKAMOLODOY,2615,36,53.51%,122,45,8.41,891,6,228,33,6.25 km,1425.34 km,2.58 km,3.68 km,785,27,113923,85.09%,194,26m,35m,1023,835,0,0,127,499.66,13,461,12.75,158,17.73%,590 m,11,4,692,
Senseibjarne,2612,29,45.00%,153,28,5.28,987,45,340,34,7.10 km,2414.96 km,2.00 km,5.11 km,1491,43,134479,89.71%,305,26m,36m,1510,1228,2,1,143,395.53,12,490,7.90,151,15.30%,785 m,9,4,792,
Gaxyy,2626,37,47.69%,134,43,8.56,1258,23,281,33,6.18 km,1737.73 km,1.84 km,4.35 km,1337,47,147240,86.12%,242,23m,36m,1038,1050,6,0,91,523.99,18,366,11.05,221,17.57%,602 m,11,5,946,
Fee1G0od,1908,27878,12.24%,6,31088,2.14,92,34436,49,10,3.33 km,163.12 km,1.48 km,1.85 km,178,2,13340,34.69%,17,14m,31m,123,110,3,0,19,272.25,9,37,3.00,26,28.26%,333 m,1,3,74,
Bierbank,1200,2146700,0.00%,0,2231832,3.00,3,1564585,1,1,0.19 km,0.19 km,0.19 km,0.00 km,3,0,335,0.00%,0,5m,5m,0,0,0,0,0,334.76,3,0,3.00,1,33.33%,22 m,0,1,3,
ZirouHirou,2597,39,42.70%,79,44,4.72,500,42,185,25,6.42 km,1187.23 km,2.03 km,4.39 km,888,21,61315,82.16%,152,25m,36m,660,666,0,0,67,331.43,11,230,6.89,85,17.00%,425 m,2,4,385,
