author,quote,rank,rate,title
[美] 卡勒德·胡赛尼 ,为你，千千万万遍,1,8.9,"
                追风筝的人

                
              "
[法] 圣埃克苏佩里 ,献给长成了大人的孩子们,2,9.0,"
                小王子

                
              "
钱锺书 ,对于“人艰不拆”四个字最彻底的违抗,3,8.9,"
                围城

                
              "
[日] 东野圭吾 ,一碗精心熬制的东野牌鸡汤，拒绝很难,4,8.6,"
                解忧杂货店

                
              "
余华 ,活着本身就是人生最大的意义,5,9.1,"
                活着

                
              "
[日] 东野圭吾 ,暗夜独行的残破灵魂，爱与恶本就难分难舍,6,9.1,"
                白夜行

                
              "
[日] 村上春树 ,村上之发轫，多少人的青春启蒙,7,8.0,"
                挪威的森林

                
              "
[日] 东野圭吾 ,数学好是一种极致的浪漫,8,8.9,"
                嫌疑人X的献身

                
              "
刘慈欣 ,你我不过都是虫子,9,8.8,"
                三体

                
                  ,
              "
[捷克] 米兰·昆德拉 ,朝向媚俗的一次伟大的进军,10,8.5,"
                不能承受的生命之轻

                
              "
[清] 曹雪芹 著 ,谁解其中味？,11,9.6,"
                红楼梦

                
              "
郭敬明 ,只是青春留下的余烬,12,7.1,"
                梦里花落知多少

                
              "
[美] 丹·布朗 ,一切畅销的因素都有了,13,8.2,"
                达·芬奇密码

                
              "
柴静 ,在这里看见中国,14,8.8,"
                看见

                
              "
[哥伦比亚] 加西亚·马尔克斯 ,尼采所谓的永劫复归，一场无始无终的梦魇,15,9.2,"
                百年孤独

                
              "
韩寒 ,车手韩寒的公路小说,16,7.9,"
                1988：我想和这个世界谈谈

                
              "
顾漫 ,倒追有风险，入行需谨慎,17,7.8,"
                何以笙箫默

                
              "
路遥 ,中国当代城乡生活全景,18,9.0,"
                平凡的世界（全三部）

                
              "
[英] 夏洛蒂·勃朗特 ,灰姑娘在十九世纪,19,8.5,"
                简爱

                
              "
[英] J. K. 罗琳 ,羽加迪姆勒维奥萨！,20,9.0,"
                哈利·波特与魔法石

                
              "
东野圭吾 ,封面剧透,21,9.2,"
                白夜行

                
              "
刘慈欣 ,无边的黑暗森林，比第一部更为恢弘壮丽,22,9.3,"
                三体Ⅱ

                
                  ,
              "
[美国] 玛格丽特·米切尔 ,革命时期的爱情，随风而逝,23,9.3,"
                飘

                
              "
刘瑜 ,犀利又温柔，穿过胸口隐隐作痛,24,8.6,"
                送你一颗子弹

                
              "
刘慈欣 ,终章，何去何从,25,9.2,"
                三体Ⅲ

                
                  ,
              "
高铭 ,简称“疯癫与文明”,1,8.2,"
                天才在左 疯子在右

                
                  ,
              "
[英] 奥斯丁 ,所有现代言情小说的母体,2,8.8,"
                傲慢与偏见

                
              "
张爱玲 ,一段姻缘，需要一座城的倾覆来成全,3,8.5,"
                倾城之恋

                
              "
韩寒 ,“我是金子，我要发光的”,4,7.4,"
                三重门

                
              "
李可 ,职场丛林生存手册,5,7.8,"
                杜拉拉升职记

                
              "
当年明月 ,历史本就是一件件“事儿”拼成的,6,8.7,"
                明朝那些事儿（壹）

                
                  ,
              "
[英] J. K. 罗琳 ,小天狼星布莱克,7,8.9,"
                哈利·波特与阿兹卡班的囚徒

                
              "
龙应台 ,不必追,8,8.7,"
                目送

                
              "
[法] 玛格丽特·杜拉斯 ,我已经老了，你呢？,9,8.1,"
                情人

                
              "
[英] J. K. 罗琳 ,渐入佳境，魔法世界全貌初现,10,8.9,"
                哈利·波特与密室

                
              "
[美] 黄仁宇 ,见微知著，历史观的颠覆,11,8.9,"
                万历十五年

                
              "
杨绛 ,平淡，坚忍，温情,12,8.7,"
                我们仨

                
              "
郭敬明 ,如今的小四已经无法评价，往事犹可追,13,7.0,"
                幻城

                
              "
辛夷坞 ,青春总是用残忍的方式提醒你它已退场,14,7.8,"
                致我们终将逝去的青春

                
              "
[日] 村上春树 ,村上的野望，欢迎来到1Q84年,15,8.3,"
                1Q84 BOOK 1

                
                  ,
              "
姜戎 ,我们都是 狼的传人？,16,8.3,"
                狼图腾

                
              "
